origin, destination, date, miles, dollars, error
ORD, dca, 02-21-2023, 15k miles, $5.60
ORD, dca, 02-22-2023, 15k miles, $5.60
ORD, dca, 02-23-2023, 15k miles, $5.60
ORD, dca, 02-24-2023, 15k miles, $5.60
ORD, dca, 02-25-2023, 15k miles, $5.60
ORD, dca, 02-26-2023, 13.4k miles, $5.60
ORD, dca, 02-27-2023, 12.2k miles, $5.60
ORD, dca, 02-28-2023, 10.8k miles, $5.60Lowestprice
ORD, dca, 03-01-2023, 10.8k miles, $5.60Lowestpriceselected
ORD, dca, 03-02-2023, 12.2k miles, $5.60
ORD, dca, 03-03-2023, 13.4k miles, $5.60
ORD, dca, 03-04-2023, 12.2k miles, $5.60
ORD, dca, 03-05-2023, 13.4k miles, $5.60
ORD, dca, 03-06-2023, 12.2k miles, $5.60
ORD, dca, 03-07-2023, 10.8k miles, $5.60Lowestprice
ORD, dca, 03-08-2023, 10.8k miles, $5.60Lowestprice
ORD, dca, 03-09-2023, 12.2k miles, $5.60
ORD, dca, 03-10-2023, 13.4k miles, $5.60
ORD, dca, 03-11-2023, 13.4k miles, $5.60
ORD, dca, 03-12-2023, 13.4k miles, $5.60
ORD, dca, 03-13-2023, 13.4k miles, $5.60
ORD, dca, 03-14-2023, 10.8k miles, $5.60Lowestprice
ORD, dca, 03-15-2023, 10.8k miles, $5.60Lowestprice
ORD, dca, 03-16-2023, 13.4k miles, $5.60
ORD, iad, 02-15-2023, 15k miles, $5.60
ORD, iad, 02-16-2023, 15k miles, $5.60
ORD, iad, 02-17-2023, 15k miles, $5.60
ORD, iad, 02-18-2023, 15k miles, $5.60
ORD, iad, 02-19-2023, 15k miles, $5.60
ORD, iad, 02-20-2023, 15k miles, $5.60
ORD, iad, 02-21-2023, 15k miles, $5.60
ORD, iad, 02-22-2023, 15k miles, $5.60
ORD, iad, 02-23-2023, 15k miles, $5.60
ORD, iad, 02-24-2023, 15k miles, $5.60
ORD, iad, 02-25-2023, 15k miles, $5.60
ORD, iad, 02-26-2023, 13.4k miles, $5.60
ORD, iad, 02-27-2023, 12.2k miles, $5.60
ORD, iad, 02-28-2023, 10.8k miles, $5.60Lowestprice
ORD, iad, 03-01-2023, 10.8k miles, $5.60Lowestpriceselected
ORD, iad, 03-02-2023, 12.2k miles, $5.60
ORD, iad, 03-03-2023, 13.4k miles, $5.60
ORD, iad, 03-04-2023, 12.2k miles, $5.60
ORD, iad, 03-05-2023, 13.4k miles, $5.60
ORD, iad, 03-06-2023, 12.2k miles, $5.60
ORD, iad, 03-07-2023, 10.8k miles, $5.60Lowestprice
ORD, iad, 03-08-2023, 10.8k miles, $5.60Lowestprice
ORD, iad, 03-09-2023, 12.2k miles, $5.60
ORD, iad, 03-10-2023, 13.4k miles, $5.60
ORD, iad, 03-11-2023, 15k miles, $5.60
ORD, iad, 03-12-2023, 15k miles, $5.60
ORD, iad, 03-13-2023, 13.4k miles, $5.60
ORD, iad, 03-14-2023, 10.8k miles, $5.60Lowestprice
ORD, iad, 03-15-2023, 10.8k miles, $5.60Lowestprice
ORD, iad, 03-16-2023, 13.4k miles, $5.60
